#INFO,,,,,,,,,,,,,,,,,,
#Study name,CltBld Study 1,,,,,,,,,,,,,,,,,
#Respondent Name,39d986e5-6766-4be7-8a6f-3ea76f48d3a2,Id: 70fffd08-c1a3-4f4c-8183-b2dfabef4b9d,,,,,,,,,,,,,,,,
#Respondent Age,0,,,,,,,,,,,,,,,,,
#Respondent Gender,OTHER,,,,,,,,,,,,,,,,,
#Respondent Group,Default,,,,,,,,,,,,,,,,,
#Gaze Calibration,Good,,,,,,,,,,,,,,,,,
#iMotions version,9.3.32841.17,,,,,,,,,,,,,,,,,
#Current culture,da-DK dansk (Danmark),File encoding: System.Text.UTF8Encoding,Date format: dd-MM-yyyy,,,,,,,,,,,,,,,
#Recording time,Date: 16-05-2023,Time: 12:04:57.072 +02:00,Unix time: 1684231497,,,,,,,,,,,,,,,
#Export time,Date: 01-08-2023,Time: 19:35:30.039 +02:00,,,,,,,,,,,,,,,,
#Sensor info,R Analysis GazeAnalysis I-VT filter, Parameters, isGlasses=False, gapFill=True, maxGapLength=75, noiseReduction=False, filterType=Average, windowNoise=3, fixationFilter=IVT, windowVelocity=20, velocityThreshold=30, discardShortFixation=True, minDurationFixation=60, mergeFixation=True, maxTimeBtwFixation=75, maxAngleBtwFixation=0.5, screenResolutionWidth=1920, screenResolutionHeight=1080, screenDistance=70, monitorSize=15.4, Latency: 0 milliseconds
#,,,,,,,,,,,,,,,,,,
#METADATA,,,,,,,,,,,,,,,,,,
#Device,,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,SlideEvents,ET_UserInputEvents,ET_UserInputEvents,ET_UserInputEvents,ET_UserInputEvents,R Analysis GazeAnalysis I-VT filter,R Analysis GazeAnalysis I-VT filter,R Analysis GazeAnalysis I-VT filter,R Analysis GazeAnalysis I-VT filter,R Analysis GazeAnalysis I-VT filter,R Analysis GazeAnalysis I-VT filter,R Analysis GazeAnalysis I-VT filter
#Provided By,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,,,,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions,iMotions
#Category,Timestamp,Event Source,Slideshow,Slideshow,Slideshow,Slideshow,Slideshow,Event Source,InputEvent,Data,Slide,Event Source,ET(Fixations),ET(Fixations),ET(Fixations),ET(Fixations),ET(Fixations),ET(Fixations)
#Description,iMotions synchronization timestamp. Relative to data recording start,Can be used to filter data from: SlideEvents,Slide & Media events: Start/Stop,Type of stimulus,Stimulus duration fx video length,Reason slide was changed,Name of stimulus,Can be used to filter data from: ET_UserInputEvents,Input source i.e. Mouse or API,Serialized data,Type of stimulus,Can be used to filter data from: R Analysis GazeAnalysis I-VT filter,"Fixation number, counting from start of the recording.",X-coordinate of the fixation centroid (relative to top-left corner of the screen).,Y-coordinate of the fixation centroid (relative to top-left corner of the screen).,Start time of the fixation (relative to recording start).,End time of the fixation (relative to recording start).,Duration of the fixation.
#Unit,Millisecond,,,,Millisecond,,,,,,Stimulus type,,Index,Pixels,Pixels,Milliseconds,Milliseconds,Milliseconds
#Short unit,ms,,,,ms,,,,,,,,,px,px,ms,ms,ms
#Group,,Event Source,,,,,,Event Source,,,,Event Source,Fixations,Fixations,Fixations,Fixations,Fixations,Fixations
#Display name,,,,,,,,,,,,,Index,X-coordinate of fixation,Y-coordinate of fixation,Start time,End time,Duration
#Channel identifier,iMotions_Synchronization_Timestamp,Eventsource_Slideevents,SE_SlideEvent,SE_StimulusType,SE_Duration,SE_CollectionPhase,SE_SourceStimuliName,Eventsource_ET_Userinputevents,,,,Eventsource_R_Analysis_Gazeanalysis_I-VT_Filter,ET_IVT_Fixation_Index,ET_IVT_Fixation_X,ET_IVT_Fixation_Y,ET_IVT_Fixation_Start,ET_IVT_Fixation_End,ET_IVT_Fixation_Duration
#,,,,,,,,,,,,,,,,,,
#DATA,,,,,,,,,,,,,,,,,,
Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,InputEventSource,Data,StimType,EventSource,Fixation Index,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration
49,1444,,,,,,Website,,,,,1,4,977.583333333333,516.458333333333,1231.529,1535.8594,304.3304
50,1452,,,,,,Website,,,,,1,4,977.583333333333,516.458333333333,1231.529,1535.8594,304.3304
51,1461,,,,,,Website,,,,,1,4,977.583333333333,516.458333333333,1231.529,1535.8594,304.3304
52,1469,,,,,,Website,,,,,1,4,977.583333333333,516.458333333333,1231.529,1535.8594,304.3304
53,1603,,,,,,Website,,,,,1,,,,,,
54,1611,,,,,,Website,,,,,1,,,,,,
55,1803,,,,,,Website,,,,,1,5,591.5,36,1706.9218,1806.925,100.0032
56,1811,,,,,,Website,,,,,1,,,,,,
57,1819,,,,,,Website,,,,,1,,,,,,
58,1827,,,,,,Website,,,,,1,,,,,,
59,1836,,,,,,Website,,,,,1,,,,,,
60,1844,,,,,,Website,,,,,1,,,,,,
61,2036,,,,,,Website,,,,,1,,,,,,
62,2044,,,,,,Website,,,,,1,,,,,,
63,2053,,,,,,Website,,,,,1,,,,,,
64,2061,,,,,,Website,,,,,1,,,,,,
65,2069,,,,,,Website,,,,,1,,,,,,
66,2103,,,,,,Website,,,,,1,,,,,,
67,2111,,,,,,Website,,,,,1,,,,,,
68,2221,,,,,,Website,,,,,1,,,,,,
69,2288,,,,,,Website,,,,,1,,,,,,
70,2296,,,,,,Website,,,,,1,,,,,,
71,2304,,,,,,Website,,,,,1,,,,,,
72,2313,,,,,,Website,,,,,1,,,,,,
73,2321,,,,,,Website,,,,,1,,,,,,
74,2329,,,,,,Website,,,,,1,,,,,,
75,2338,,,,,,Website,,,,,1,,,,,,
76,2346,,,,,,Website,,,,,1,,,,,,
77,2354,,,,,,Website,,,,,1,,,,,,
78,2363,,,,,,Website,,,,,1,,,,,,
79,2371,,,,,,Website,,,,,1,,,,,,
80,2379,,,,,,Website,,,,,1,,,,,,
81,2388,,,,,,Website,,,,,1,,,,,,
82,2396,,,,,,Website,,,,,1,6,328.5,145,2392.105,2517.1778,125.0728
83,2638,,,,,,Website,,,,,1,,,,,,
84,2646,,,,,,Website,,,,,1,,,,,,
85,2704,,,,,,Website,,,,,1,,,,,,
86,2805,,,,,,Website,,,,,1,,,,,,
87,2888,,,,,,Website,,,,,1,,,,,,
88,2896,,,,,,Website,,,,,1,,,,,,
89,2905,,,,,,Website,,,,,1,,,,,,
90,2971,,,,,,Website,,,,,1,,,,,,
91,2980,,,,,,Website,,,,,1,,,,,,
92,2988,,,,,,Website,,,,,1,,,,,,
93,2996,,,,,,Website,,,,,1,,,,,,
94,3004,,,,,,Website,,,,,1,,,,,,
95,3055,,,,,,Website,,,,,1,,,,,,
96,3063,,,,,,Website,,,,,1,,,,,,
97,3071,,,,,,Website,,,,,1,,,,,,
98,3080,,,,,,Website,,,,,1,,,,,,
99,3122,,,,,,Website,,,,,1,,,,,,
100,3130,,,,,,Website,,,,,1,,,,,,
101,3171,,,,,,Website,,,,,1,,,,,,
102,3180,,,,,,Website,,,,,1,,,,,,
103,3238,,,,,,Website,,,,,1,,,,,,
104,3246,,,,,,Website,,,,,1,,,,,,
105,3305,,,,,,Website,,,,,1,,,,,,
106,3313,,,,,,Website,,,,,1,,,,,,
107,3321,,,,,,Website,,,,,1,,,,,,
108,3330,,,,,,Website,,,,,1,,,,,,
109,3338,,,,,,Website,,,,,1,,,,,,
110,3346,,,,,,Website,,,,,1,,,,,,
111,3354,,,,,,Website,,,,,1,,,,,,
112,3363,,,,,,Website,,,,,1,,,,,,
113,3371,,,,,,Website,,,,,1,,,,,,
114,3380,,,,,,Website,,,,,1,,,,,,
115,3388,,,,,,Website,,,,,1,,,,,,
116,3396,,,,,,Website,,,,,1,,,,,,
117,3405,,,,,,Website,,,,,1,,,,,,
118,3413,,,,,,Website,,,,,1,,,,,,
119,3421,,,,,,Website,,,,,1,,,,,,
120,3471,,,,,,Website,,,,,1,,,,,,
121,3480,,,,,,Website,,,,,1,,,,,,
122,3488,,,,,,Website,,,,,1,,,,,,
123,3496,,,,,,Website,,,,,1,,,,,,
124,3555,,,,,,Website,,,,,1,,,,,,
