"Corrected.Fixation.X","Corrected.Fixation.Y","Fixation.Start","Fixation.End","Timestamp","Timestamp_check","img","Corrected.Fixation.Y.img"
1126.33056881214,34829.4008300709,721878.9689,722070.6377,721975,"12m 1s29","bottom",6029.4008300709
874.800767402782,24335.8025352857,517480.3217,517596.9545,517539,"8m 37s16","top",24335.8025352857
637.039424172237,15279.5698378365,374942.5217,375084.1913,375013,"6m 15s0","top",15279.5698378365
1008.84462413877,32847.3083686191,679677.4345,680285.8009,679982,"11m 19s29","bottom",4047.3083686191
1137.68137446632,10530.6203139658,298397.4145,298539.1201,298468,"4m 58s14","top",10530.6203139658
1247.06224811435,6692.58371564357,202168.8201,202709.1337,202439,"3m 22s13","top",6692.58371564357
546.534539512681,19651.7045325219,438977.9561,439169.6297,439074,"7m 19s2","top",19651.7045325219
532.773125402986,37108.3098737749,770273.4865,770440.1825,770357,"12m 50s11","bottom",8308.3098737749
983.382675534547,6272.33549554488,194476.9001,194793.6169,194635,"3m 14s19","top",6272.33549554488
658.804420088874,9775.29218307784,284613.4385,285021.7545,284818,"4m 44s25","top",9775.29218307784
1215.95238095238,14180.2857142857,362115.7121,362290.7377,362203,"6m 2s6","top",14180.2857142857
1017.97916536598,21595.4791644964,477579.9329,477788.2737,477684,"7m 57s21","top",21595.4791644964
676.709961686305,20405.8978148315,460179.3441,460362.7193,460271,"7m 40s8","top",20405.8978148315
893.114285714286,3303.12857142857,133924.2353,134215.9065,134070,"2m 14s2","top",3303.12857142857
603.258620689655,14187.1896551724,360349.0313,360590.7065,360470,"6m 0s14","top",14187.1896551724
459.812851899189,9912.43947042876,288796.8689,289163.5153,288980,"4m 48s29","top",9912.43947042876
1116.99086913802,2788.47900715571,127273.0385,127606.3881,127440,"2m 7s13","top",2788.47900715571
1071.92189112671,156.021398959252,72372.4849,72714.1665,72543,"1m 12s16","top",156.021398959252
433.016666666667,25503.3333333333,542652.1889,542902.1977,542777,"9m 2s23","top",25503.3333333333
656.375216211048,32461.1479964858,671085.5633,671277.2409,671181,"11m 11s5","bottom",3661.1479964858
830.894889565562,23421.7149111746,502638.1497,502963.1657,502801,"8m 22s24","top",23421.7149111746
515.71052631579,5628.05263157895,174810.9401,174969.2449,174890,"2m 54s27","top",5628.05263157895
828.843530328074,19624.7234433149,439544.6449,439761.3169,439653,"7m 19s20","top",19624.7234433149
772.628595577552,15768.7000508673,381484.3641,381784.3745,381634,"6m 21s19","top",15768.7000508673
518.178576163178,8352.82143926511,243476.4881,243626.5017,243551,"4m 3s17","top",8352.82143926511
573.286169557309,18838.4549993496,421403.5641,421536.8881,421470,"7m 1s14","top",18838.4549993496
387.936491964861,32485.6292754204,670177.2097,670468.8817,670323,"11m 10s10","bottom",3685.6292754204
440.60017353556,9144.59579759218,265871.8097,266171.8225,266022,"4m 26s1","top",9144.59579759218
1194.46711176276,36374.7915201903,752464.2665,752697.5953,752581,"12m 32s17","bottom",7574.7915201903
1480.87621069724,36402.9248137423,753114.2761,753380.9281,753248,"12m 33s7","bottom",7602.9248137423
941.486511303288,32879.9170706277,679435.7601,679660.7633,679548,"11m 19s16","bottom",4079.9170706277
1134.02649570816,25709.6451032072,547792.6345,548034.3065,547913,"9m 7s27","top",25709.6451032072
612.90594876189,9881.10824036884,287946.8449,288096.8369,288022,"4m 48s1","top",9881.10824036884
752.298178654439,38305.4731428822,794640.1225,794848.4889,794744,"13m 14s22","bottom",9505.4731428822
756.168857256101,570.232393395094,77272.6281,77472.6673,77373,"1m 17s11","top",570.232393395094
1234.5666758284,7856.82176186893,223701.6993,224076.7425,223889,"3m 43s27","top",7856.82176186893
671.555555555556,35588.6388888889,732837.4233,732987.4689,732912,"12m 12s27","bottom",6788.6388888889
983.790322580645,4717.95161290323,159508.7409,159767.0553,159638,"2m 39s19","top",4717.95161290323
1056.61108326484,19236.9677676363,433410.8553,433602.5361,433507,"7m 13s15","top",19236.9677676363
989.680381337291,20052.2132548366,448384.6337,448617.9801,448501,"7m 28s15","top",20052.2132548366
712.838884886089,9011.71842754084,258190.7529,258532.4329,258362,"4m 18s11","top",9011.71842754084
1347.22995398589,35629.1239423036,734537.4737,734754.1793,734646,"12m 14s19","bottom",6829.1239423036
1225.38045197034,21979.6660155308,483505.0665,483730.0681,483618,"8m 3s19","top",21979.6660155308
830.380952380953,10581.4761904762,297097.3753,297272.4161,297185,"4m 57s6","top",10581.4761904762
712.5,13290.6333333333,350115.1593,350240.1769,350178,"5m 50s5","top",13290.6333333333
885.946030792657,14848.1750018367,370285.7561,370485.7577,370386,"6m 10s12","top",14848.1750018367
500.014703048536,25101.2388834866,532289.4033,533131.1433,532710,"8m 52s21","top",25101.2388834866
856.554816714047,32859.3577994335,679177.4241,679410.7577,679294,"11m 19s9","bottom",4059.3577994335
760.319800757582,22752.2694623834,494955.9097,495105.9201,495031,"8m 15s1","top",22752.2694623834
616.10702702977,37150.8268185467,771015.2049,771456.8489,771236,"12m 51s7","bottom",8350.8268185467
