"Corrected.Fixation.X","Corrected.Fixation.Y","Fixation.Start","Fixation.End","Timestamp","Timestamp_check","img","Corrected.Fixation.Y.img"
1156.17883793925,24664.0671375761,672090.0691,672265.1267,672178,"11m 12s5","top",24664.0671375761
1178.74198631282,199.980416047795,53187.3795,53845.7283,53517,"0m 53s16","top",199.980416047795
1201.01974037335,18918.9743365681,523327.2643,524110.6651,523719,"8m 43s22","top",18918.9743365681
897.25,6315.72222222222,229565.1731,229715.1779,229640,"3m 49s19","top",6315.72222222222
515.411798426083,25172.118540646,678790.2531,679023.5987,678907,"11m 18s27","top",25172.118540646
801.934782608696,32531.1956521739,821688.0363,821879.6899,821784,"13m 41s24","bottom",3731.1956521739
751.939621545936,7883.70450901046,285908.5883,286308.5963,286109,"4m 46s3","top",7883.70450901046
1296.07098547283,976.736749156139,78325.5547,78517.2395,78421,"1m 18s13","top",976.736749156139
631.018181707477,34413.3804754799,851261.6587,851761.6659,851512,"14m 11s15","bottom",5613.3804754799
729.053169037419,22827.1533528986,633700.0275,634233.3571,633967,"10m 33s29","top",22827.1533528986
1844.64835901564,8546.10151159223,298269.2587,298585.9291,298428,"4m 58s13","top",8546.10151159223
730.439865777521,5197.80511491316,197146.9979,197513.6371,197330,"3m 17s10","top",5197.80511491316
1113.71504798745,38003.2640632436,915174.7667,915424.7723,915300,"15m 15s9","bottom",9203.2640632436
373.053824572596,31364.350046414,792553.2155,794703.2619,793628,"13m 13s19","bottom",2564.350046414
765.330309663822,8011.43516883356,273984.5475,274284.5507,274135,"4m 34s4","top",8011.43516883356
1047.87903225806,31653.9274193548,807944.3155,808460.9723,808203,"13m 28s6","bottom",2853.9274193548
1310.41827939416,30190.4188829077,774234.6419,774559.6435,774397,"12m 54s12","bottom",1390.4188829077
842.897293068502,31783.0389223552,809271.2915,809562.9451,809417,"13m 29s13","bottom",2983.0389223552
972.84090900637,3756.02307415178,161962.5811,162570.9683,162267,"2m 42s8","top",3756.02307415178
806.917609674328,32406.0871087827,818254.8739,818754.9003,818505,"13m 38s15","bottom",3606.0871087827
808.226631707222,11024.0345367304,355579.3579,355904.3483,355742,"5m 55s22","top",11024.0345367304
468.214640638423,22399.5739155202,610773.3795,611148.4075,610961,"10m 10s29","top",22399.5739155202
1200.30276195802,24274.6000454212,661881.3859,661998.0395,661940,"11m 1s28","top",24274.6000454212
1046.87046453561,22309.5571080214,609231.6747,609698.3603,609465,"10m 9s14","top",22309.5571080214
1196.35471139496,502.104323758985,63459.3699,63784.3699,63622,"1m 3s19","top",502.104323758985
1579.91216797191,922.565107824933,79347.3395,79705.7235,79527,"1m 19s16","top",922.565107824933
660.20585335521,16800.3299697681,479609.3475,479859.3611,479734,"7m 59s22","top",16800.3299697681
946.452306652637,19940.436105819,565336.7907,565927.9755,565632,"9m 25s19","top",19940.436105819
805.699371853097,22284.6549059609,608306.6875,608648.3299,608478,"10m 8s14","top",22284.6549059609
464.877461181848,6078.65692389503,225115.0731,225265.1211,225190,"3m 45s6","top",6078.65692389503
1248.77879788673,33288.5406227841,835883.8867,836167.2299,836026,"13m 56s1","bottom",4488.5406227841
856.422263385987,3200.32509518888,131821.4331,132113.0995,131967,"2m 11s29","top",3200.32509518888
898.885354064457,18382.8866057528,514472.6907,514781.0323,514627,"8m 34s19","top",18382.8866057528
1223.33160452507,29534.4781476761,758844.9627,759028.3339,758937,"12m 38s28","bottom",734.478147676102
1272.87583005651,33127.9375696356,832708.8259,832792.1347,832750,"13m 52s22","bottom",4327.9375696356
1187.00666358445,19959.0239335185,562795.0211,563961.7467,563378,"9m 23s11","top",19959.0239335185
1146.70519418843,16457.5309162367,474116.6603,474383.3347,474250,"7m 54s8","top",16457.5309162367
1019.63842707045,17541.7966298362,499617.3035,499958.9947,499788,"8m 19s24","top",17541.7966298362
1355.12203053,1389.46748543139,88864.3235,89268.1547,89066,"1m 29s2","top",1389.46748543139
1178.00368538109,19548.9946614489,544726.1499,545059.4907,544893,"9m 4s27","top",19548.9946614489
628.564516129032,35679.9193548387,868955.2931,869213.6635,869084,"14m 29s3","bottom",6879.9193548387
1102.6166121819,32914.2217433367,828771.5883,829138.2427,828955,"13m 48s29","bottom",4114.2217433367
787.886171510476,29331.7951328198,755876.1595,756092.8299,755984,"12m 35s30","bottom",531.7951328198
707.190476190476,556.857142857143,65392.7627,65567.7675,65480,"1m 5s14","top",556.857142857143
784.618399891061,1008.49594511379,76242.1595,76650.5067,76446,"1m 16s13","top",1008.49594511379
1185.28496671052,1769.8459639918,102802.2211,103160.5531,102981,"1m 42s29","top",1769.8459639918
1044.47290628415,7489.12462780931,263750.0619,264425.0907,264088,"4m 24s3","top",7489.12462780931
702.463522676446,14276.0365356683,431515.2219,431890.2491,431703,"7m 11s21","top",14276.0365356683
478.033710805432,19704.4611890019,545918.7091,546093.6907,546006,"9m 6s0","top",19704.4611890019
1110.87292700836,11004.1388113427,356571.0395,356912.6923,356742,"5m 56s22","top",11004.1388113427
