"Corrected.Fixation.X","Corrected.Fixation.Y","Fixation.Start","Fixation.End","Timestamp","Timestamp_check","img","Corrected.Fixation.Y.img"
689.490264100257,28586.2815223448,619544.0635,619735.8739,619640,"10m 19s19","top",28586.2815223448
441.834505419643,1743.83887574466,92727.0923,93246.1403,92987,"1m 32s30","top",1743.83887574466
1011.075,6786.325,236242.2523,236408.9699,236326,"3m 56s10","top",6786.325
810.404536333207,10572.4722136102,310663.4603,310947.1571,310805,"5m 10s24","top",10572.4722136102
650.919276320313,14208.1264156087,386165.7611,386437.4667,386302,"6m 26s9","top",14208.1264156087
1256.99998933264,15605.8633241013,420390.7363,420515.7307,420453,"7m 0s14","top",15605.8633241013
902.512447068962,5501.28274600609,200914.7891,201274.3603,201095,"3m 21s3","top",5501.28274600609
803.172918381034,27066.4125572789,597261.4563,597886.1507,597574,"9m 57s17","top",27066.4125572789
777.818181818182,14207.4090909091,390422.9075,390711.7291,390567,"6m 30s17","top",14207.4090909091
717.878787878788,21998.0151515152,519489.7659,519764.7907,519627,"8m 39s19","top",21998.0151515152
913.604661528166,34444.1063790214,700254.8971,700450.6051,700353,"11m 40s11","bottom",5644.1063790214
1397.03225806452,28596.5483870968,622158.9595,622414.2467,622287,"10m 22s9","top",28596.5483870968
1132.99994397884,9901.48550178667,301509.8811,301816.2291,301663,"5m 1s20","top",9901.48550178667
1244.2,31601.92,663948.4491,664156.8139,664053,"11m 4s2","bottom",2801.92
776.766666666667,5912.76666666667,213904.2803,214029.3083,213967,"3m 33s29","top",5912.76666666667
902.279234450483,26646.0370899549,589509.0091,589831.0099,589670,"9m 49s20","top",26646.0370899549
558.722222222222,20052.1388888889,488428.3971,488575.1115,488502,"8m 8s15","top",20052.1388888889
1374.93411228204,4556.53014952169,176552.3075,177096.3955,176824,"2m 56s25","top",4556.53014952169
987.733281765311,11878.3334924262,347537.7139,347671.0427,347604,"5m 47s18","top",11878.3334924262
1041.57778543019,20677.3218531056,497650.7339,497991.2075,497821,"8m 17s25","top",20677.3218531056
785.410714285714,5128.26785714286,186231.9395,186464.4923,186348,"3m 6s10","top",5128.26785714286
878.125688701695,13673.734146199,380422.7747,380732.5059,380578,"6m 20s17","top",13673.734146199
933.068181818182,1732.40909090909,95240.3651,95423.6955,95332,"1m 35s10","top",1732.40909090909
295.542183761825,24696.6908243015,552750.2947,553093.9907,552922,"9m 12s28","top",24696.6908243015
781.605054533816,27686.6015638164,605740.7611,606018.8019,605880,"10m 5s26","top",27686.6015638164
882.778236071667,12619.6681907049,362670.3579,363136.7547,362904,"6m 2s27","top",12619.6681907049
546.694444444445,3284.15277777778,149157.1379,149454.9867,149306,"2m 29s9","top",3284.15277777778
1153.64883652156,32896.3366461672,686720.3859,687149.2987,686935,"11m 26s28","bottom",4096.3366461672
840.195686086508,18747.8356791291,470780.5787,471276.7011,471029,"7m 51s1","top",18747.8356791291
683.757684645861,3182.90668325647,144796.8963,145041.8971,144919,"2m 24s28","top",3182.90668325647
863.41848311027,24607.6053552015,552036.6043,552468.9163,552253,"9m 12s8","top",24607.6053552015
939.094330163058,11861.3076868243,347270.4059,347529.3827,347400,"5m 47s12","top",11861.3076868243
459.166669450586,25092.4047621225,556615.0779,556798.4075,556707,"9m 16s21","top",25092.4047621225
1450.43442622951,5224.15573770492,197775.5875,198350.6427,198063,"3m 18s2","top",5224.15573770492
1070.02505110162,19621.9001106286,484370.7563,484545.7515,484458,"8m 4s14","top",19621.9001106286
579.574774681692,36787.8365189089,737823.7851,738125.1403,737974,"12m 17s29","bottom",7987.8365189089
1153.68310350769,36785.2711430275,740352.2027,740683.8003,740518,"12m 20s16","bottom",7985.2711430275
1430.80229714908,552.357151197565,65424.0587,65741.2427,65583,"1m 5s17","top",552.357151197565
797.120627221876,34860.1940839659,710028.8867,710271.9723,710150,"11m 50s4","bottom",6060.1940839659
295.542183761825,24696.6908243015,552750.2947,553093.9907,552922,"9m 12s28","top",24696.6908243015
1134.39473684211,27417.4736842105,604190.5771,604352.0955,604271,"10m 4s8","top",27417.4736842105
926.1927597604,29377.7691105103,632511.3571,632844.3851,632678,"10m 32s20","bottom",577.7691105103
969.075,21572.325,514373.3067,514534.3883,514454,"8m 34s14","top",21572.325
615.785960133843,18869.8282121468,474124.9819,474469.8459,474297,"7m 54s9","top",18869.8282121468
784.060371663066,5503.06179829993,200190.2067,200535.0691,200363,"3m 20s11","top",5503.06179829993
1189.38636363636,7069.47727272727,242584.7163,242769.1627,242677,"4m 2s20","top",7069.47727272727
1283.36998136347,14578.6466795181,401024.5595,401446.1627,401235,"6m 41s7","top",14578.6466795181
712.816666666667,25883.0166666667,575878.0931,576130.9427,576005,"9m 36s0","top",25883.0166666667
1127.03921568627,7187.86274509804,244368.0371,244827.4211,244598,"4m 4s18","top",7187.86274509804
1371.53123707464,25480.062535751,573474.0659,573626.4555,573550,"9m 33s16","top",25480.062535751
