"Corrected.Fixation.X","Corrected.Fixation.Y","Fixation.Start","Fixation.End","Timestamp","Timestamp_check","img","Corrected.Fixation.Y.img"
1066.33802108187,19914.5569029971,271469.0327,271627.3671,271548,"4m 31s16","top",19914.5569029971
826.285225132979,31742.4680461838,403682.9455,403957.9519,403820,"6m 43s25","bottom",2942.4680461838
1186.02173913043,37557.8260869565,467718.8255,467910.4919,467815,"7m 47s24","bottom",8757.8260869565
908.558823529412,35079.2941176471,436236.2943,436377.9975,436307,"7m 16s9","bottom",6279.2941176471
1255.31981008463,31721.240100204,404432.9639,404649.6999,404541,"6m 44s16","bottom",2921.240100204
1515.0331354626,30313.6050908161,380438.5639,380913.5503,380676,"6m 20s20","bottom",1513.6050908161
655.573975892477,26785.9603816285,347406.5111,347839.8879,347623,"5m 47s19","top",26785.9603816285
606.000088012674,31359.500396057,397082.8279,397199.4807,397141,"6m 37s4","bottom",2559.500396057
953.843369182066,6400.77743632274,110672.5455,110830.9063,110752,"1m 50s23","top",6400.77743632274
1355.26923076923,38722.9615384615,481583.4687,481691.7871,481638,"8m 1s19","bottom",9922.9615384615
967.473700617752,20309.7894439722,276519.3943,276686.0607,276603,"4m 36s18","top",20309.7894439722
734.06211886935,33281.9485109506,416164.2423,416372.5847,416268,"6m 56s8","bottom",4481.9485109506
1204.81607685276,2131.13130292272,61481.3967,61656.3679,61569,"1m 1s17","top",2131.13130292272
726.424027532445,4885.60866385515,93561.1247,93736.1191,93649,"1m 33s19","top",4885.60866385515
1218.78571428571,7163.33928571429,117279.1247,117512.4879,117396,"1m 57s12","top",7163.33928571429
1101.72573154285,38713.2492443404,480833.4303,481008.4583,480921,"8m 0s28","bottom",9913.2492443404
979.95614575795,10277.9544900121,155022.3199,155313.9991,155168,"2m 35s5","top",10277.9544900121
1029.86842105263,36796.5,454224.6359,454382.9719,454304,"7m 34s9","bottom",7996.5
1064.7638063355,1615.0959819121,51161.1127,51386.1575,51274,"0m 51s8","top",1615.0959819121
562.928342854008,12624.1690057464,182923.0943,183106.4303,183015,"3m 3s0","top",12624.1690057464
1003.77398775617,14985.8203953032,209675.7231,210125.7471,209901,"3m 29s27","top",14985.8203953032
1078.88109034981,18744.9713879668,257345.0551,257895.0343,257620,"4m 17s19","top",18744.9713879668
816.910714285714,8600.57142857143,131521.0511,131754.3663,131638,"2m 11s19","top",8600.57142857143
1040.25917238521,16510.3150717025,227768.4711,228001.8183,227885,"3m 47s27","top",16510.3150717025
948.891026375961,25106.9163147936,325188.0039,325588.0447,325388,"5m 25s12","top",25106.9163147936
1259.93980816789,17570.7720582003,242901.3463,243259.7151,243081,"4m 3s2","top",17570.7720582003
1168.14749798496,25500.9000932752,334213.6079,334538.6295,334376,"5m 34s11","top",25500.9000932752
531.086956521739,30163.7391304348,378655.1863,378846.8575,378751,"6m 18s23","bottom",1363.7391304348
1161.42528294293,17451.3116272826,243834.7463,244176.3679,244006,"4m 4s0","top",17451.3116272826
570.705882352941,13047.6176470588,187299.5615,187441.2367,187370,"3m 7s11","top",13047.6176470588
964.025130287436,24331.6571915218,312562.3663,313137.3511,312850,"5m 12s26","top",24331.6571915218
1238.03912185319,3292.80316423497,73560.0591,74010.0967,73785,"1m 13s24","top",3292.80316423497
979.054435235879,9930.09442523618,153797.2911,154405.6343,154101,"2m 34s3","top",9930.09442523618
907.235188034555,13426.1298261024,193408.0431,193608.0639,193508,"3m 13s15","top",13426.1298261024
1016.42,14072.38,199916.7239,200125.0695,200021,"3m 20s1","top",14072.38
1004.35212662109,18098.3989344398,250545.6199,250720.6239,250633,"4m 10s19","top",18098.3989344398
759.019300197142,17210.6245926813,240634.6519,240959.6575,240797,"4m 0s24","top",17210.6245926813
1202.33180602001,18099.9029015761,250753.9575,250920.6271,250837,"4m 10s25","top",18099.9029015761
1045.25585032055,3961.42513571592,77476.8183,77643.4919,77560,"1m 17s17","top",3961.42513571592
1003.77398775617,14985.8203953032,209675.7231,210125.7471,209901,"3m 29s27","top",14985.8203953032
983.703205289609,2121.11052174032,59689.6799,59964.6855,59827,"0m 59s25","top",2121.11052174032
1309.90960562102,36788.5211901098,454424.6423,454691.3215,454558,"7m 34s17","bottom",7988.5211901098
798.584000028439,21213.444276178,284677.9303,284844.5895,284761,"4m 44s23","top",21213.444276178
1108.66666666667,37038.8958333333,462317.2743,462517.2799,462417,"7m 42s13","bottom",8238.8958333333
790.923076923077,21863.0192307692,289311.5031,289528.1775,289420,"4m 49s13","top",21863.0192307692
1105.74876123583,4511.34254284889,89019.6279,89244.6503,89132,"1m 29s4","top",4511.34254284889
1004.61345625627,3688.36056469938,75701.7767,75860.1351,75781,"1m 15s23","top",3688.36056469938
772.628571428571,29767.1857142857,375973.5031,376265.1559,376119,"6m 16s4","bottom",967.185714285701
923.13701538551,37566.6150721287,467952.1527,468143.8599,468048,"7m 48s1","bottom",8766.6150721287
1225.79155876658,1215.53091939061,47011.0599,47244.3791,47128,"0m 47s4","top",1215.53091939061
