"Corrected.Fixation.X","Corrected.Fixation.Y","Fixation.Start","Fixation.End","Timestamp","Timestamp_check","img","Corrected.Fixation.Y.img"
714.579057880196,50.228984499885,81276.6708,81693.3484,81485,"1m 21s15","top",50.228984499885
835.944451962227,35185.897796971,1105248.6828,1105398.6956,1105324,"18m 25s10","bottom",6385.897796971
1417.57745380313,7949.31377694272,335567.302,335908.9948,335738,"5m 35s22","top",7949.31377694272
804.222943878532,37420.7590666593,1160922.8716,1161556.2292,1161240,"19m 21s7","bottom",8620.7590666593
735.04560684405,59.731420229864,95458.4292,95850.126,95654,"1m 35s20","top",59.731420229864
873.546457325342,8250.30323056834,338817.418,339017.4324,338917,"5m 38s28","top",8250.30323056834
785.009476801189,5197.38168632462,252047.4204,252339.09,252193,"4m 12s6","top",5197.38168632462
860.086722057739,11804.1863123789,434571.1324,435229.5116,434900,"7m 14s27","top",11804.1863123789
753.631997348882,3552.23647525884,216020.938,216195.9404,216108,"3m 36s3","top",3552.23647525884
1018.57671797472,15649.5397617946,554649.3116,554765.9812,554708,"9m 14s21","top",15649.5397617946
938.216142923767,31356.950085413,984392.4572,984584.1732,984488,"16m 24s15","bottom",2556.950085413
1062.73861457052,10556.6063723527,406237.8836,406437.8748,406338,"6m 46s10","top",10556.6063723527
984.293163630895,11068.7237765343,416478.6476,416678.6164,416579,"6m 56s17","top",11068.7237765343
492.34697762829,24291.9287130844,816560.5012,816827.1868,816694,"13m 36s21","top",24291.9287130844
341.032662296942,13013.50857705,470355.5124,470697.1884,470526,"7m 50s16","top",13013.50857705
822.64222519068,13277.2208631944,477414.1436,477572.4188,477493,"7m 57s15","top",13277.2208631944
773.933932231953,18073.5947344231,619451.6276,619651.6292,619552,"10m 19s17","top",18073.5947344231
843.322798619959,16527.8696958661,579266.8596,579483.534,579375,"9m 39s11","top",16527.8696958661
1013.37074264381,11442.9624141271,424945.2156,425695.2076,425320,"7m 5s10","top",11442.9624141271
849.878976868463,27696.479249681,915264.1716,915689.2132,915477,"15m 15s14","top",27696.479249681
933.762861193041,10624.2237548627,404221.1924,404371.19,404296,"6m 44s9","top",10624.2237548627
735.327697378084,6003.09786055998,272479.9132,272629.922,272555,"4m 32s17","top",6003.09786055998
541.580676711097,20424.1277398788,695722.266,696172.2668,695947,"11m 35s28","top",20424.1277398788
406.830672954048,28985.9407442044,947615.6732,947765.6476,947691,"15m 47s21","bottom",185.940744204399
812.559038418301,32000.1421528518,1006648.542,1006973.5444,1006811,"16m 46s24","bottom",3200.1421528518
822.232233679887,24197.8872477351,822593.1004,822851.4396,822722,"13m 42s22","top",24197.8872477351
984.108103998865,21450.0658116759,733192.746,733401.0844,733297,"12m 13s9","top",21450.0658116759
1113.73548109912,13395.2410826253,486939.262,487305.9148,487123,"8m 7s4","top",13395.2410826253
512.918777029329,15768.9212829635,555466.0004,555832.65,555649,"9m 15s19","top",15768.9212829635
715.560271284657,11806.0139645405,434429.454,434546.1532,434488,"7m 14s15","top",11806.0139645405
584.8125,14919.625,526782.0284,526848.698,526815,"8m 46s24","top",14919.625
963.692307692308,823.653846153846,124849.0644,124957.3948,124903,"2m 4s27","top",823.653846153846
862.908296564117,35586.2625579858,1116596.7284,1117005.0684,1116801,"18m 36s24","bottom",6786.2625579858
1129.25968829998,7440.51925355131,322876.2684,323159.6068,323018,"5m 23s1","top",7440.51925355131
816.168350803613,5482.92523672059,258714.3084,258947.6068,258831,"4m 18s25","top",5482.92523672059
802.204943214117,12200.6126826727,446302.6476,446494.3572,446399,"7m 26s12","top",12200.6126826727
949.329950332953,7148.9542466605,314757.8628,315124.5372,314941,"5m 14s28","top",7148.9542466605
968.526220169165,7022.88066683075,313974.5436,314374.5164,314175,"5m 14s5","top",7022.88066683075
701.18608844338,803.650602094979,117016.4292,117141.4356,117079,"1m 57s2","top",803.650602094979
835.337503286796,814.949710195846,122965.6772,123307.3468,123137,"2m 3s4","top",814.949710195846
948.545242040218,24184.1755700147,811743.71,811927.0676,811835,"13m 31s25","top",24184.1755700147
913.195631799792,36277.5498311239,1134770.4596,1134978.8172,1134875,"18m 54s26","bottom",7477.5498311239
776.533615999994,14172.60097408,508197.7572,508339.4292,508269,"8m 28s8","top",14172.60097408
976.919886907988,24205.504975199,822259.758,822576.4324,822418,"13m 42s13","top",24205.504975199
337.122862407895,3317.90632422821,201244.9348,201586.5804,201416,"3m 21s12","top",3317.90632422821
1417.28316137906,12642.8636239875,458929.758,460088.1268,459509,"7m 39s15","top",12642.8636239875
721.961050890741,18867.0523830512,642245.6828,642512.4156,642379,"10m 42s11","top",18867.0523830512
981.835677435864,32856.1672837261,1035250.5396,1035383.8796,1035317,"17m 15s10","bottom",4056.1672837261
666.342618939746,25734.6685831249,858277.7468,858527.7756,858403,"14m 18s12","top",25734.6685831249
921.753852918145,13293.3871253392,478664.0948,478939.1404,478802,"7m 58s24","top",13293.3871253392
