"Corrected.Fixation.X","Corrected.Fixation.Y","Fixation.Start","Fixation.End","Timestamp","Timestamp_check","img","Corrected.Fixation.Y.img"
1565.40604949623,25440.8034914311,619622.3856,619789.0176,619706,"10m 19s21","top",25440.8034914311
1338.03599743969,30554.9214916703,729283.3016,729850,729567,"12m 9s17","bottom",1754.9214916703
776.672011207252,25487.5120165008,617180.6008,617372.2768,617276,"10m 17s8","top",25487.5120165008
1109.47691719445,17254.6052048614,462806.752,463023.4344,462915,"7m 42s27","top",17254.6052048614
596.671025854875,15712.5732661101,429071.0096,429346.0168,429209,"7m 9s6","top",15712.5732661101
660.956756704917,37090.580072568,844545.4272,844670.464,844608,"14m 4s18","bottom",8290.580072568
989.794543174287,25788.8747278258,622237.8312,622354.4664,622296,"10m 22s9","top",25788.8747278258
342.999192262167,11058.4505901697,337035.128,337126.7976,337081,"5m 37s2","top",11058.4505901697
1450.2,17642.3,469440.8272,469524.1304,469482,"7m 49s14","top",17642.3
1373.95,11420.55,344043.7136,344127.0856,344085,"5m 44s3","top",11420.55
914.726164649399,33884.4125284268,780360.2496,780468.6208,780414,"13m 0s12","bottom",5084.4125284268
979.1875,1575.625,130912.4872,130979.1584,130946,"2m 10s28","top",1575.625
956.166666666667,37884.7916666667,858364.4832,858464.5168,858414,"14m 18s12","bottom",9084.7916666667
1251.58333241099,14871.1725497861,411553.8624,411670.5616,411612,"6m 51s18","top",14871.1725497861
363.323927512798,12621.7292342301,363410.4048,363593.7776,363502,"6m 3s15","top",12621.7292342301
917.510490824326,4412.0764650065,203587.78,203796.1808,203692,"3m 23s21","top",4412.0764650065
954.19479991138,35047.3895333728,811369.0976,811519.1192,811444,"13m 31s13","bottom",6247.3895333728
890.359770193709,14171.9298850969,397929.0272,398037.3968,397983,"6m 37s29","top",14171.9298850969
1306.36904761905,30566.4761904762,727516.6016,727866.5816,727692,"12m 7s21","bottom",1766.4761904762
1237.4375,31720.140625,746575.316,746842.008,746709,"12m 26s21","bottom",2920.140625
776.601554782134,37491.2532404617,852529.0256,852687.3632,852608,"14m 12s18","bottom",8691.2532404617
869.039686667066,26658.0683758975,637080.3968,637213.7248,637147,"10m 37s4","top",26658.0683758975
700.515381794091,8166.26764005728,270123.9568,270407.2944,270266,"4m 30s8","top",8166.26764005728
764.222477616494,21569.1267464506,537133.8496,537317.188,537226,"8m 57s7","top",21569.1267464506
1170.47215178129,38127.8171670893,865091.2264,865341.2456,865216,"14m 25s6","bottom",9327.8171670893
972.920974892935,5468.59411064421,224581.064,224881.0688,224731,"3m 44s22","top",5468.59411064421
855.276366859929,133.978534246823,120785.6144,120993.9856,120890,"2m 0s27","top",133.978534246823
761.686650827052,9366.28864671831,302225.5952,302400.56,302313,"5m 2s9","top",9366.28864671831
643.217158875215,3945.51389326431,193103.8192,193278.784,193191,"3m 13s6","top",3945.51389326431
1552.01549564226,35579.8539503132,819929.0592,820120.7264,820025,"13m 40s1","bottom",6779.8539503132
1306.82351600638,6712.67243831936,244955.8344,245039.1704,244998,"4m 4s30","top",6712.67243831936
969.973787191427,24560.1059641624,594319.0296,594477.3696,594398,"9m 54s12","top",24560.1059641624
270.415359570724,11448.5974389621,339218.5696,339443.6184,339331,"5m 39s10","top",11448.5974389621
992.559373050924,20387.245546588,509658.5784,510075.2904,509867,"8m 29s26","top",20387.245546588
1105.02575202484,33221.0090384593,767384.3936,767634.4072,767509,"12m 47s15","bottom",4421.0090384593
1270.48687417261,9346.88675035016,299575.464,299700.4528,299638,"4m 59s19","top",9346.88675035016
817.182715629047,3124.33634248766,176470.1192,176611.8184,176541,"2m 56s16","top",3124.33634248766
510.629441208293,27823.5219774427,659730.7368,659939.0712,659835,"10m 59s25","top",27823.5219774427
676.294117647059,4677.64705882353,207606.0728,207747.7352,207677,"3m 27s20","top",4677.64705882353
846.441316087945,13365.3789829776,383886.1624,384136.1384,384011,"6m 24s0","top",13365.3789829776
774.12879883479,14930.5930131567,413037.236,413278.9408,413158,"6m 53s5","top",14930.5930131567
1064.33199774768,35798.939758597,822729.1408,822920.7784,822825,"13m 42s25","bottom",6998.939758597
1045.06029475457,2075.23068197921,158903.1392,159111.4768,159007,"2m 39s0","top",2075.23068197921
1086.6279676978,18025.361819377,474324.3192,474682.6112,474503,"7m 54s15","top",18025.361819377
1209.19567373989,15998.3142620957,435846.2304,436546.2312,436196,"7m 16s6","top",15998.3142620957
1288.71909722962,31287.2791033078,740015.8672,740099.2072,740058,"12m 20s2","bottom",2487.2791033078
545.789162804576,38262.0830620327,866974.6208,867141.2816,867058,"14m 27s2","bottom",9462.0830620327
800.501965120736,30497.2709947306,717041.452,717141.4832,717091,"11m 57s3","bottom",1697.2709947306
818.479374635492,22725.9826395925,564519.2176,564827.5656,564673,"9m 24s20","top",22725.9826395925
938.282835614644,8214.41115560352,271307.3688,271590.6592,271449,"4m 31s13","top",8214.41115560352
